Name,Siblings and Spouses,female,Cabin Class 3,"Age (20, 28]","Age (28, 38]","Age (38, 80]",Mrs.,Miss,VIP,Survived,survival_prob
"Sagesser, Mlle. Emma",0,1,0,1,0,0,0,1,0,1,0.8468244587927797
"Eustis, Miss. Elizabeth Mussey",1,1,0,0,0,1,0,1,0,1,0.7534482899744852
"Taussig, Mr. Emil",1,0,0,0,0,1,0,0,0,0,0.23210226182733437
"Ryerson, Miss. Emily Borie",2,1,0,0,0,0,0,1,0,1,0.8332321195298154
"Sharp, Mr. Percival James R",0,0,0,1,0,0,0,0,0,0,0.3535071738932643
"Thayer, Mr. John Borland Jr",0,0,0,0,0,0,0,0,0,1,0.44317990401250273
"Abbott, Mrs. Stanton (Rosa Hunt)",1,1,1,0,1,0,1,0,0,1,0.6237145287997428
"Graham, Mrs. William Thompson (Edith Junkins)",0,1,0,0,0,1,1,0,0,1,0.8802946714985578
"Porter, Mr. Walter Chamberlain",0,0,0,0,0,1,0,0,0,0,0.2772421730041599
"Ohman, Miss. Velin",0,1,1,1,0,0,0,1,0,1,0.5246706162962135
"Crease, Mr. Ernest James",0,0,1,0,0,0,0,0,0,0,0.13712078116364282
"Bateman, Rev. Robert James",0,0,0,0,0,1,0,0,1,0,0.33696761396606756
"Barton, Mr. David John",0,0,1,1,0,0,0,0,0,0,0.09842889641976829
"Mallet, Mr. Albert",1,0,0,0,1,0,0,0,0,0,0.3021848048724097
"Bourke, Mrs. John (Catherine)",1,1,1,0,1,0,1,0,0,0,0.6237145287997428
"Gronnestad, Mr. Daniel Danielsen",0,0,1,0,1,0,0,0,0,0,0.09887692016763006
"Ilett, Miss. Bertha",0,1,0,0,0,0,0,1,0,1,0.8894662583585115
"Lang, Mr. Fang",0,0,1,1,0,0,0,0,0,1,0.09842889641976829
"Newell, Miss. Marjorie",1,1,0,1,0,0,0,1,0,1,0.8133024505627984
"Silven, Miss. Lyyli Karoliina",0,1,0,0,0,0,0,1,0,1,0.8894662583585115
"Gilinski, Mr. Eliezer",0,0,1,1,0,0,0,0,0,0,0.09842889641976829
"Parrish, Mrs. (Lutie Davis)",0,1,0,0,0,1,1,0,0,1,0.8802946714985578
"Madill, Miss. Georgette Alexandra",0,1,0,0,0,0,0,1,0,1,0.8894662583585115
"Hickman, Mr. Leonard Mark",2,0,0,1,0,0,0,0,0,0,0.2534587629155066
"Mionoff, Mr. Stoytcho",0,0,1,1,0,0,0,0,0,0,0.09842889641976829
"Boulos, Miss. Nourelain",1,1,1,0,0,0,0,1,0,0,0.5586928847726241
"Ford, Mr. William Neal",1,0,1,0,0,0,0,0,0,0,0.11128241368314061
"Najib, Miss. Adele Kiamie ""Jane""",0,1,1,0,0,0,0,1,0,1,0.6163666169197053
"Adahl, Mr. Mauritz Nils Martin",0,0,1,0,1,0,0,0,0,0,0.09887692016763006
"Dodge, Master. Washington",0,0,0,0,0,0,0,0,0,1,0.44317990401250273
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,1,0,0,1,0,1,0,0,1,0.8924957007010119
"Bourke, Mr. John",1,0,1,0,0,1,0,0,0,0,0.05691354065005308
"Vanden Steen, Mr. Leo Peter",0,0,1,1,0,0,0,0,0,0,0.09842889641976829
"Pasic, Mr. Jakob",0,0,1,1,0,0,0,0,0,0,0.09842889641976829
"Minahan, Dr. William Edward",2,0,0,0,0,1,0,0,1,0,0.2398634278624047
"Navratil, Mr. Michel (""Louis M Hoffman"")",0,0,0,0,1,0,0,0,0,0,0.35465951604360335
"Panula, Master. Eino Viljami",4,0,1,0,0,0,0,0,0,0,0.0577256225374774
"Allison, Miss. Helen Loraine",1,1,0,0,0,0,0,1,0,0,0.8637750776040167
"Lurette, Miss. Elise",0,1,0,0,0,1,0,1,0,1,0.7950085075824512
"Barah, Mr. Hanna Assi",0,0,1,0,0,0,0,0,0,1,0.13712078116364282
"Cardeza, Mr. Thomas Drake Martinez",0,0,0,0,1,0,0,0,0,1,0.35465951604360335
"Asplund, Master. Edvin Rojj Felix",4,0,1,0,0,0,0,0,0,1,0.0577256225374774
"Abbing, Mr. Anthony",0,0,1,0,0,1,0,0,0,0,0.07113863087107508
"Coxon, Mr. Daniel",0,0,1,0,0,1,0,0,0,0,0.07113863087107508
"Goldsmith, Mr. Frank John",1,0,1,0,1,0,0,0,0,0,0.07958040868394238
"Sundman, Mr. Johan Julian",0,0,1,0,0,1,0,0,0,1,0.07113863087107508
"Oreskovic, Mr. Luka",0,0,1,0,0,0,0,0,0,0,0.13712078116364282
"Ford, Mrs. Edward (Margaret Ann Watson)",1,1,1,0,0,1,1,0,0,0,0.5363810199344708
"Hood, Mr. Ambrose Jr",0,0,0,1,0,0,0,0,0,0,0.3535071738932643
"Hassan, Mr. Houssein G N",0,0,1,0,0,0,0,0,0,0,0.13712078116364282
"Gale, Mr. Shadrach",1,0,0,0,1,0,0,0,0,0,0.3021848048724097
"Stranden, Mr. Juho",0,0,1,0,1,0,0,0,0,1,0.09887692016763006
"Petranec, Miss. Matilda",0,1,1,1,0,0,0,1,0,0,0.5246706162962135
"Danoff, Mr. Yoto",0,0,1,1,0,0,0,0,0,0,0.09842889641976829
"Cook, Mr. Jacob",0,0,1,0,0,1,0,0,0,0,0.07113863087107508
"Bonnell, Miss. Elizabeth",0,1,0,0,0,1,0,1,0,1,0.7950085075824512
"Goldenberg, Mr. Samuel L",1,0,0,0,0,1,0,0,0,1,0.23210226182733437
"Mallet, Master. Andre",0,0,0,0,0,0,0,0,0,1,0.44317990401250273
"Petterson, Mr. Johan Emil",1,0,1,1,0,0,0,0,0,0,0.07921213399330324
"Van der hoef, Mr. Wyckoff",0,0,0,0,0,1,0,0,0,0,0.2772421730041599
"Becker, Master. Richard F",2,0,0,0,0,0,0,0,0,1,0.33073607164642216
"Widener, Mr. Harry Elkins",0,0,0,1,0,0,0,0,0,0,0.3535071738932643
"Sivic, Mr. Husein",0,0,1,0,0,1,0,0,0,0,0.07113863087107508
"Leader, Dr. Alice (Farnham)",0,1,0,0,0,1,0,0,1,1,0.7836731500067269
"McNamee, Mr. Neal",1,0,1,1,0,0,0,0,0,0,0.07921213399330324
"Balkic, Mr. Cerin",0,0,1,1,0,0,0,0,0,0,0.09842889641976829
"Svensson, Mr. Olof",0,0,1,1,0,0,0,0,0,0,0.09842889641976829
"Rice, Master. Arthur",4,0,1,0,0,0,0,0,0,0,0.0577256225374774
"Quick, Miss. Phyllis May",1,1,0,0,0,0,0,1,0,1,0.8637750776040167
"Charters, Mr. David",0,0,1,1,0,0,0,0,0,0,0.09842889641976829
"Hirvonen, Miss. Hildur E",0,1,1,0,0,0,0,1,0,1,0.6163666169197053
"Carter, Mr. William Ernest",1,0,0,0,1,0,0,0,0,1,0.3021848048724097
"Kirkland, Rev. Charles Leonard",0,0,0,0,0,1,0,0,1,0,0.33696761396606756
"Coleff, Mr. Satio",0,0,1,1,0,0,0,0,0,0,0.09842889641976829
"Silvey, Mr. William Baird",1,0,0,0,0,1,0,0,0,0,0.23210226182733437
"Partner, Mr. Austen",0,0,0,0,0,1,0,0,0,0,0.2772421730041599
"White, Mr. Richard Frasar",0,0,0,1,0,0,0,0,0,0,0.3535071738932643
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,1,1,0,0,1,1,0,0,0,0.5363810199344708
"Beckwith, Mr. Richard Leonard",1,0,0,0,1,0,0,0,0,1,0.3021848048724097
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",1,1,0,0,1,0,1,0,0,1,0.8924957007010119
"Daly, Mr. Eugene Patrick",0,0,1,0,1,0,0,0,0,1,0.09887692016763006
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",1,1,0,0,1,0,1,0,0,1,0.8924957007010119
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",1,1,0,0,0,1,1,0,0,1,0.852824481349832
"Dorking, Mr. Edward Arthur",0,0,1,0,0,0,0,0,0,1,0.13712078116364282
"Chronopoulos, Mr. Apostolos",1,0,1,1,0,0,0,0,0,0,0.07921213399330324
"Levy, Mr. Rene Jacques",0,0,0,0,1,0,0,0,0,0,0.35465951604360335
"Richards, Master. William Rowe",1,0,0,0,0,0,0,0,0,1,0.3854302690906762
"Hippach, Miss. Jean Gertrude",0,1,0,0,0,0,0,1,0,1,0.8894662583585115
"Kantor, Mr. Sinai",1,0,0,0,1,0,0,0,0,0,0.3021848048724097
"Heikkinen, Miss. Laina",0,1,1,1,0,0,0,1,0,1,0.5246706162962135
"Dennis, Mr. Samuel",0,0,1,1,0,0,0,0,0,0,0.09842889641976829
"Drazenoic, Mr. Jozef",0,0,1,0,1,0,0,0,0,0,0.09887692016763006
"Osen, Mr. Olaf Elon",0,0,1,0,0,0,0,0,0,0,0.13712078116364282
"Rice, Mrs. William (Margaret Norton)",0,1,1,0,0,1,1,0,0,0,0.5948561476573384
"White, Mr. Percival Wayland",0,0,0,0,0,1,0,0,0,0,0.2772421730041599
"Clarke, Mrs. Charles V (Ada Maria Winfield)",1,1,0,1,0,0,1,0,0,1,0.8920113159055693
"LeRoy, Miss. Bertha",0,1,0,0,1,0,0,1,0,1,0.847476872984597
"Lemberopolous, Mr. Peter L",0,0,1,0,1,0,0,0,0,0,0.09887692016763006
"Bazzani, Miss. Albina",0,1,0,0,1,0,0,1,0,1,0.847476872984597
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",1,1,0,0,0,1,1,0,0,0,0.852824481349832
"Andrews, Miss. Kornelia Theodosia",1,1,0,0,0,1,0,1,0,1,0.7534482899744852
"Montvila, Rev. Juozas",0,0,0,1,0,0,0,0,1,0,0.42011227279624014
"Endres, Miss. Caroline Louise",0,1,0,0,1,0,0,1,0,1,0.847476872984597
"Newell, Mr. Arthur Webster",0,0,0,0,0,1,0,0,0,0,0.2772421730041599
"Skoog, Mrs. William (Anna Bernhardina Karlsson)",1,1,1,0,0,1,1,0,0,0,0.5363810199344708
"Connors, Mr. Patrick",0,0,1,0,0,1,0,0,0,0,0.07113863087107508
"Moor, Master. Meier",0,0,1,0,0,0,0,0,0,1,0.13712078116364282
"McKane, Mr. Peter David",0,0,0,0,0,1,0,0,0,0,0.2772421730041599
"Hakkarainen, Mr. Pekka Pietari",1,0,1,1,0,0,0,0,0,0,0.07921213399330324
"Waelens, Mr. Achille",0,0,1,1,0,0,0,0,0,0,0.09842889641976829
"Nakid, Mr. Sahid",1,0,1,0,0,0,0,0,0,1,0.11128241368314061
"Nicola-Yarred, Miss. Jamila",1,1,1,0,0,0,0,1,0,1,0.5586928847726241
"Andreasson, Mr. Paul Edvin",0,0,1,0,0,0,0,0,0,0,0.13712078116364282
"Mellors, Mr. William John",0,0,0,0,0,0,0,0,0,1,0.44317990401250273
"Lesurer, Mr. Gustave J",0,0,0,0,1,0,0,0,0,1,0.35465951604360335
"Goodwin, Master. William Frederick",5,0,1,0,0,0,0,0,0,0,0.0460496676997478
"Johnson, Mr. Malkolm Joackim",0,0,1,0,1,0,0,0,0,0,0.09887692016763006
"Chaffee, Mr. Herbert Fuller",1,0,0,0,0,1,0,0,0,0,0.23210226182733437
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",2,1,0,0,0,1,1,0,0,1,0.8203369743888016
"Strandberg, Miss. Ida Sofia",0,1,1,1,0,0,0,1,0,0,0.5246706162962135
"Albimona, Mr. Nassef Cassem",0,0,1,1,0,0,0,0,0,1,0.09842889641976829
