Name,Siblings and Spouses,female,Cabin Class 3,"Age (20, 28]","Age (28, 38]","Age (38, 80]",Mrs.,Miss,VIP,Survived,survival_prob
"Sagesser, Mlle. Emma",0,1,0,1,0,0,0,1,0,1,0.8612878713144962
"Eustis, Miss. Elizabeth Mussey",1,1,0,0,0,1,0,1,0,1,0.8825652154748929
"Taussig, Mr. Emil",1,0,0,0,0,1,0,0,0,0,0.301821021947678
"Ryerson, Miss. Emily Borie",2,1,0,0,0,0,0,1,0,1,0.853065514084161
"Sharp, Mr. Percival James R",0,0,0,1,0,0,0,0,0,0,0.24932949731558163
"Thayer, Mr. John Borland Jr",0,0,0,0,0,0,0,0,0,1,0.2506513380910178
"Abbott, Mrs. Stanton (Rosa Hunt)",1,1,1,0,1,0,1,0,0,1,0.6066616381121812
"Graham, Mrs. William Thompson (Edith Junkins)",0,1,0,0,0,1,1,0,0,1,0.9049125949537888
"Porter, Mr. Walter Chamberlain",0,0,0,0,0,1,0,0,0,0,0.23030453102566184
"Ohman, Miss. Velin",0,1,1,1,0,0,0,1,0,1,0.5567111825096918
"Crease, Mr. Ernest James",0,0,1,0,0,0,0,0,0,0,0.15648835107925768
"Bateman, Rev. Robert James",0,0,0,0,0,1,0,0,1,0,0.27502826138064307
"Barton, Mr. David John",0,0,1,1,0,0,0,0,0,0,0.15755888518988284
"Mallet, Mr. Albert",1,0,0,0,1,0,0,0,0,0,0.27368366934838834
"Bourke, Mrs. John (Catherine)",1,1,1,0,1,0,1,0,0,0,0.6066616381121812
"Gronnestad, Mr. Daniel Danielsen",0,0,1,0,1,0,0,0,0,0,0.1604973877631187
"Ilett, Miss. Bertha",0,1,0,0,0,0,0,1,0,1,0.8648865223404654
"Lang, Mr. Fang",0,0,1,1,0,0,0,0,0,1,0.15755888518988284
"Newell, Miss. Marjorie",1,1,0,1,0,0,0,1,0,1,0.8637096774668539
"Silven, Miss. Lyyli Karoliina",0,1,0,0,0,0,0,1,0,1,0.8648865223404654
"Gilinski, Mr. Eliezer",0,0,1,1,0,0,0,0,0,0,0.15755888518988284
"Parrish, Mrs. (Lutie Davis)",0,1,0,0,0,1,1,0,0,1,0.9049125949537888
"Madill, Miss. Georgette Alexandra",0,1,0,0,0,0,0,1,0,1,0.8648865223404654
"Hickman, Mr. Leonard Mark",2,0,0,1,0,0,0,0,0,0,0.26141135582239
"Mionoff, Mr. Stoytcho",0,0,1,1,0,0,0,0,0,0,0.15755888518988284
"Boulos, Miss. Nourelain",1,1,1,0,0,0,0,1,0,0,0.5090725878371343
"Ford, Mr. William Neal",1,0,1,0,0,0,0,0,0,0,0.19585466881329164
"Najib, Miss. Adele Kiamie ""Jane""",0,1,1,0,0,0,0,1,0,1,0.5307282658974141
"Adahl, Mr. Mauritz Nils Martin",0,0,1,0,1,0,0,0,0,0,0.1604973877631187
"Dodge, Master. Washington",0,0,0,0,0,0,0,0,0,1,0.2506513380910178
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,1,0,0,1,0,1,0,0,1,0.9148887962276245
"Bourke, Mr. John",1,0,1,0,0,1,0,0,0,0,0.1613182147401436
"Vanden Steen, Mr. Leo Peter",0,0,1,1,0,0,0,0,0,0,0.15755888518988284
"Pasic, Mr. Jakob",0,0,1,1,0,0,0,0,0,0,0.15755888518988284
"Minahan, Dr. William Edward",2,0,0,0,0,1,0,0,1,0,0.4030765644265577
"Navratil, Mr. Michel (""Louis M Hoffman"")",0,0,0,0,1,0,0,0,0,0,0.23881496695806825
"Panula, Master. Eino Viljami",4,0,1,0,0,0,0,0,0,0,0.1132832928824765
"Allison, Miss. Helen Loraine",1,1,0,0,0,0,0,1,0,0,0.8750073881274104
"Lurette, Miss. Elise",0,1,0,0,0,1,0,1,0,1,0.8568355163816637
"Barah, Mr. Hanna Assi",0,0,1,0,0,0,0,0,0,1,0.15648835107925768
"Cardeza, Mr. Thomas Drake Martinez",0,0,0,0,1,0,0,0,0,1,0.23881496695806825
"Asplund, Master. Edvin Rojj Felix",4,0,1,0,0,0,0,0,0,1,0.1132832928824765
"Abbing, Mr. Anthony",0,0,1,0,0,1,0,0,0,0,0.12373385431718327
"Coxon, Mr. Daniel",0,0,1,0,0,1,0,0,0,0,0.12373385431718327
"Goldsmith, Mr. Frank John",1,0,1,0,1,0,0,0,0,0,0.16717275623927572
"Sundman, Mr. Johan Julian",0,0,1,0,0,1,0,0,0,1,0.12373385431718327
"Oreskovic, Mr. Luka",0,0,1,0,0,0,0,0,0,0,0.15648835107925768
